,x,y,z,ncbi_id,sample_name,full_name,vir_x,vir_y,vir_z,vir_ncbi_id,vir_sample_name,vir_full_name
2602,0.553760,0.013121,0.227330,NC_002516,NC_002516 sample_2,Pseudomonas aeruginosa,0.355140,-0.033365,-0.073894,NC_024381,NC_024381 sample_22,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2603,0.326820,-0.045836,0.187070,NC_002516,NC_002516 sample_3,Pseudomonas aeruginosa,0.214590,-0.004882,-0.121010,NC_024381,NC_024381 sample_23,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2604,0.477480,-0.024371,0.345340,NC_002516,NC_002516 sample_4,Pseudomonas aeruginosa,0.176110,-0.083544,-0.240120,NC_024381,NC_024381 sample_24,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2605,0.277420,-0.069033,0.235090,NC_002516,NC_002516 sample_5,Pseudomonas aeruginosa,0.404810,0.003746,0.001310,NC_024381,NC_024381 sample_25,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2606,0.400750,-0.135310,0.240150,NC_002516,NC_002516 sample_6,Pseudomonas aeruginosa,0.290250,-0.065304,-0.228860,NC_024381,NC_024381 sample_26,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2607,0.330310,-0.102570,0.079710,NC_002516,NC_002516 sample_7,Pseudomonas aeruginosa,0.098884,-0.172510,-0.306220,NC_024381,NC_024381 sample_27,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2608,0.340530,-0.085144,0.118440,NC_002516,NC_002516 sample_8,Pseudomonas aeruginosa,0.299370,-0.062891,0.064437,NC_024381,NC_024381 sample_28,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2609,0.636860,-0.031039,0.333490,NC_002516,NC_002516 sample_9,Pseudomonas aeruginosa,0.236790,0.007834,-0.163120,NC_024381,NC_024381 sample_29,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
3000,0.012576,-0.132850,-0.231170,NC_002655,NC_002655 sample_0,Escherichia coli,0.148460,-0.049607,0.009223,NC_024379,NC_024379 sample_30,"Escherichia phage PE3-1, complete genome."
3001,0.186970,-0.069114,-0.121190,NC_002655,NC_002655 sample_1,Escherichia coli,0.097908,-0.160460,-0.180630,NC_024379,NC_024379 sample_31,"Escherichia phage PE3-1, complete genome."
3002,0.274600,-0.201320,-0.122930,NC_002655,NC_002655 sample_2,Escherichia coli,0.054562,-0.057745,-0.086646,NC_024379,NC_024379 sample_32,"Escherichia phage PE3-1, complete genome."
3003,0.106630,-0.216630,-0.120810,NC_002655,NC_002655 sample_3,Escherichia coli,0.138640,-0.016266,-0.013496,NC_024379,NC_024379 sample_33,"Escherichia phage PE3-1, complete genome."
3004,0.196920,-0.084084,-0.223030,NC_002655,NC_002655 sample_4,Escherichia coli,0.175350,-0.079818,-0.016634,NC_024379,NC_024379 sample_34,"Escherichia phage PE3-1, complete genome."
3005,0.101250,-0.051941,-0.186710,NC_002655,NC_002655 sample_5,Escherichia coli,0.135810,-0.218980,-0.004904,NC_024379,NC_024379 sample_35,"Escherichia phage PE3-1, complete genome."
3006,0.350910,-0.090360,0.017804,NC_002655,NC_002655 sample_6,Escherichia coli,-0.035938,-0.023468,-0.130260,NC_024379,NC_024379 sample_36,"Escherichia phage PE3-1, complete genome."
3007,0.350950,-0.135020,0.002505,NC_002655,NC_002655 sample_7,Escherichia coli,0.147180,-0.064466,-0.063816,NC_024379,NC_024379 sample_37,"Escherichia phage PE3-1, complete genome."
3008,0.161630,-0.020957,-0.059363,NC_002655,NC_002655 sample_8,Escherichia coli,0.022831,-0.146580,-0.142940,NC_024379,NC_024379 sample_38,"Escherichia phage PE3-1, complete genome."
3009,0.163630,-0.137700,-0.092959,NC_002655,NC_002655 sample_9,Escherichia coli,0.099983,-0.048325,-0.043404,NC_024379,NC_024379 sample_39,"Escherichia phage PE3-1, complete genome."
3500,0.079189,-0.064925,-0.122430,NC_002695,NC_002695 sample_0,Escherichia coli,0.022249,-0.179860,-0.188510,NC_024379,NC_024379 sample_40,"Escherichia phage PE3-1, complete genome."
3501,0.086281,-0.185040,-0.061920,NC_002695,NC_002695 sample_1,Escherichia coli,0.251980,-0.139370,-0.029588,NC_024379,NC_024379 sample_41,"Escherichia phage PE3-1, complete genome."
3502,0.317170,-0.104380,-0.085089,NC_002695,NC_002695 sample_2,Escherichia coli,0.004109,-0.132290,-0.008755,NC_024379,NC_024379 sample_42,"Escherichia phage PE3-1, complete genome."
3503,0.228840,-0.235720,-0.229240,NC_002695,NC_002695 sample_3,Escherichia coli,0.120150,-0.060884,-0.088845,NC_024379,NC_024379 sample_43,"Escherichia phage PE3-1, complete genome."
3504,0.266600,-0.117640,-0.080902,NC_002695,NC_002695 sample_4,Escherichia coli,0.108560,-0.161290,0.049026,NC_024379,NC_024379 sample_44,"Escherichia phage PE3-1, complete genome."
3505,0.032690,-0.086084,-0.145430,NC_002695,NC_002695 sample_5,Escherichia coli,0.187550,-0.127520,0.014076,NC_024379,NC_024379 sample_45,"Escherichia phage PE3-1, complete genome."
3506,0.106590,-0.072102,-0.060500,NC_002695,NC_002695 sample_6,Escherichia coli,0.153100,-0.098418,-0.120300,NC_024379,NC_024379 sample_46,"Escherichia phage PE3-1, complete genome."
3507,0.169210,-0.111300,0.007965,NC_002695,NC_002695 sample_7,Escherichia coli,0.206230,-0.131990,-0.152600,NC_024379,NC_024379 sample_47,"Escherichia phage PE3-1, complete genome."
3508,0.207200,-0.122770,-0.140690,NC_002695,NC_002695 sample_8,Escherichia coli,0.087157,-0.049569,-0.057845,NC_024379,NC_024379 sample_48,"Escherichia phage PE3-1, complete genome."
3509,-0.045824,-0.163450,-0.168570,NC_002695,NC_002695 sample_9,Escherichia coli,0.027112,-0.026688,-0.155650,NC_024379,NC_024379 sample_49,"Escherichia phage PE3-1, complete genome."
11900,0.276710,-0.138110,-0.193310,NC_004431,NC_004431 sample_0,Escherichia coli,0.094249,-0.047976,-0.074345,NC_024379,NC_024379 sample_50,"Escherichia phage PE3-1, complete genome."
11901,0.097333,-0.130470,-0.287700,NC_004431,NC_004431 sample_1,Escherichia coli,0.033810,-0.103460,-0.048272,NC_024379,NC_024379 sample_51,"Escherichia phage PE3-1, complete genome."
11902,0.026684,-0.041124,-0.112460,NC_004431,NC_004431 sample_2,Escherichia coli,0.162230,0.011968,-0.020122,NC_024379,NC_024379 sample_52,"Escherichia phage PE3-1, complete genome."
11903,0.071939,-0.165220,0.033789,NC_004431,NC_004431 sample_3,Escherichia coli,-0.005394,-0.115170,-0.150690,NC_024379,NC_024379 sample_53,"Escherichia phage PE3-1, complete genome."
11904,0.251380,-0.127480,-0.161710,NC_004431,NC_004431 sample_4,Escherichia coli,0.002504,-0.080284,-0.171070,NC_024379,NC_024379 sample_54,"Escherichia phage PE3-1, complete genome."
11905,0.151140,-0.119300,0.007725,NC_004431,NC_004431 sample_5,Escherichia coli,0.066551,-0.146200,-0.117460,NC_024379,NC_024379 sample_55,"Escherichia phage PE3-1, complete genome."
11906,0.293930,-0.147220,-0.125800,NC_004431,NC_004431 sample_6,Escherichia coli,0.073460,-0.031391,-0.150460,NC_024379,NC_024379 sample_56,"Escherichia phage PE3-1, complete genome."
11907,0.099570,-0.187550,-0.158080,NC_004431,NC_004431 sample_7,Escherichia coli,0.021064,-0.100010,-0.167880,NC_024379,NC_024379 sample_57,"Escherichia phage PE3-1, complete genome."
11908,0.146780,-0.088581,-0.057237,NC_004431,NC_004431 sample_8,Escherichia coli,0.084498,-0.073184,-0.003585,NC_024379,NC_024379 sample_58,"Escherichia phage PE3-1, complete genome."
11909,0.137230,-0.187200,-0.221600,NC_004431,NC_004431 sample_9,Escherichia coli,0.100450,-0.080855,-0.164070,NC_024379,NC_024379 sample_59,"Escherichia phage PE3-1, complete genome."
30300,0.276290,-0.039166,-0.066861,NC_007779,NC_007779 sample_0,Escherichia coli,0.009408,-0.075363,-0.232590,NC_024379,NC_024379 sample_60,"Escherichia phage PE3-1, complete genome."
30301,0.207060,-0.112050,-0.216680,NC_007779,NC_007779 sample_1,Escherichia coli,0.150910,-0.163120,-0.118760,NC_024379,NC_024379 sample_61,"Escherichia phage PE3-1, complete genome."
30302,0.089552,-0.028577,-0.201060,NC_007779,NC_007779 sample_2,Escherichia coli,0.117320,0.014840,-0.119710,NC_024379,NC_024379 sample_62,"Escherichia phage PE3-1, complete genome."
30303,0.136370,-0.099499,-0.243950,NC_007779,NC_007779 sample_3,Escherichia coli,0.067552,-0.072341,-0.040068,NC_024379,NC_024379 sample_63,"Escherichia phage PE3-1, complete genome."
30304,0.032980,-0.228640,-0.256730,NC_007779,NC_007779 sample_4,Escherichia coli,-0.004101,-0.134160,-0.126820,NC_024379,NC_024379 sample_64,"Escherichia phage PE3-1, complete genome."
30305,0.172830,-0.015058,-0.145940,NC_007779,NC_007779 sample_5,Escherichia coli,0.079495,-0.079873,-0.157510,NC_024379,NC_024379 sample_65,"Escherichia phage PE3-1, complete genome."
30306,0.162540,-0.162960,-0.033840,NC_007779,NC_007779 sample_6,Escherichia coli,-0.070017,-0.078900,-0.127400,NC_024379,NC_024379 sample_66,"Escherichia phage PE3-1, complete genome."
30307,0.032248,-0.212290,-0.182080,NC_007779,NC_007779 sample_7,Escherichia coli,0.033034,-0.043332,-0.184590,NC_024379,NC_024379 sample_67,"Escherichia phage PE3-1, complete genome."
30308,0.125570,-0.128600,-0.172770,NC_007779,NC_007779 sample_8,Escherichia coli,0.061244,-0.014824,-0.170360,NC_024379,NC_024379 sample_68,"Escherichia phage PE3-1, complete genome."
30309,0.011758,-0.024558,-0.133220,NC_007779,NC_007779 sample_9,Escherichia coli,-0.093720,-0.135430,-0.154920,NC_024379,NC_024379 sample_69,"Escherichia phage PE3-1, complete genome."
31900,0.174830,-0.169010,-0.091603,NC_007946,NC_007946 sample_0,Escherichia coli,0.072094,-0.062944,-0.106800,NC_024379,NC_024379 sample_70,"Escherichia phage PE3-1, complete genome."
31901,0.052642,-0.033944,-0.104800,NC_007946,NC_007946 sample_1,Escherichia coli,0.204950,-0.055785,-0.150150,NC_024379,NC_024379 sample_71,"Escherichia phage PE3-1, complete genome."
31902,0.222750,-0.203840,-0.274350,NC_007946,NC_007946 sample_2,Escherichia coli,0.015337,-0.131050,-0.003136,NC_024379,NC_024379 sample_72,"Escherichia phage PE3-1, complete genome."
31903,0.087177,-0.179950,-0.328300,NC_007946,NC_007946 sample_3,Escherichia coli,0.135490,-0.023562,-0.164860,NC_024379,NC_024379 sample_73,"Escherichia phage PE3-1, complete genome."
31904,0.270050,-0.293870,-0.162020,NC_007946,NC_007946 sample_4,Escherichia coli,0.156280,-0.080387,-0.156950,NC_024379,NC_024379 sample_74,"Escherichia phage PE3-1, complete genome."
31905,0.163370,-0.023608,0.028487,NC_007946,NC_007946 sample_5,Escherichia coli,0.123760,-0.091107,-0.161030,NC_024379,NC_024379 sample_75,"Escherichia phage PE3-1, complete genome."
31906,0.132790,-0.159660,-0.014066,NC_007946,NC_007946 sample_6,Escherichia coli,0.004897,-0.105490,-0.079389,NC_024379,NC_024379 sample_76,"Escherichia phage PE3-1, complete genome."
31907,0.222350,-0.119310,-0.080371,NC_007946,NC_007946 sample_7,Escherichia coli,0.044713,-0.259290,-0.104340,NC_024379,NC_024379 sample_77,"Escherichia phage PE3-1, complete genome."
31908,0.215290,-0.022901,-0.127260,NC_007946,NC_007946 sample_8,Escherichia coli,0.093727,-0.020598,-0.110180,NC_024379,NC_024379 sample_78,"Escherichia phage PE3-1, complete genome."
31909,0.025113,-0.182400,-0.228720,NC_007946,NC_007946 sample_9,Escherichia coli,0.113690,-0.092355,0.042781,NC_024379,NC_024379 sample_79,"Escherichia phage PE3-1, complete genome."
35600,0.233910,-0.080305,-0.076640,NC_008253,NC_008253 sample_0,Escherichia coli,-0.043801,-0.067353,-0.221360,NC_024379,NC_024379 sample_80,"Escherichia phage PE3-1, complete genome."
35601,0.329760,-0.059078,0.058353,NC_008253,NC_008253 sample_1,Escherichia coli,0.077112,-0.153410,0.016023,NC_024379,NC_024379 sample_81,"Escherichia phage PE3-1, complete genome."
35602,0.363650,-0.143760,-0.135700,NC_008253,NC_008253 sample_2,Escherichia coli,0.125360,-0.119910,-0.038605,NC_024379,NC_024379 sample_82,"Escherichia phage PE3-1, complete genome."
35603,0.211470,-0.149520,-0.121100,NC_008253,NC_008253 sample_3,Escherichia coli,0.063280,-0.130040,-0.097391,NC_024379,NC_024379 sample_83,"Escherichia phage PE3-1, complete genome."
35604,0.125440,-0.169020,-0.227300,NC_008253,NC_008253 sample_4,Escherichia coli,0.102300,-0.012161,0.024832,NC_024379,NC_024379 sample_84,"Escherichia phage PE3-1, complete genome."
35605,0.258840,-0.005789,-0.206150,NC_008253,NC_008253 sample_5,Escherichia coli,0.111600,-0.003655,0.161980,NC_024379,NC_024379 sample_85,"Escherichia phage PE3-1, complete genome."
35606,0.289670,-0.053739,-0.160230,NC_008253,NC_008253 sample_6,Escherichia coli,-0.027523,-0.141260,-0.067380,NC_024379,NC_024379 sample_86,"Escherichia phage PE3-1, complete genome."
35607,0.121530,-0.227190,0.002761,NC_008253,NC_008253 sample_7,Escherichia coli,0.199690,-0.030185,-0.075762,NC_024379,NC_024379 sample_87,"Escherichia phage PE3-1, complete genome."
35608,0.189000,-0.094776,-0.196980,NC_008253,NC_008253 sample_8,Escherichia coli,0.225290,-0.083872,-0.112290,NC_024379,NC_024379 sample_88,"Escherichia phage PE3-1, complete genome."
35609,0.314690,-0.118810,-0.190470,NC_008253,NC_008253 sample_9,Escherichia coli,0.149340,-0.086673,0.007279,NC_024379,NC_024379 sample_89,"Escherichia phage PE3-1, complete genome."
38600,0.407390,0.125970,0.275290,NC_008463,NC_008463 sample_0,Pseudomonas aeruginosa,0.422180,0.030581,-0.067575,NC_024381,NC_024381 sample_90,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38601,0.350480,-0.095276,0.154790,NC_008463,NC_008463 sample_1,Pseudomonas aeruginosa,0.265730,-0.105720,-0.069017,NC_024381,NC_024381 sample_91,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38602,0.332020,-0.120950,0.334550,NC_008463,NC_008463 sample_2,Pseudomonas aeruginosa,0.181510,-0.073936,-0.258930,NC_024381,NC_024381 sample_92,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38603,0.376180,-0.191120,0.282090,NC_008463,NC_008463 sample_3,Pseudomonas aeruginosa,0.398220,-0.078029,-0.106830,NC_024381,NC_024381 sample_93,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38604,0.331390,-0.162840,0.437050,NC_008463,NC_008463 sample_4,Pseudomonas aeruginosa,0.104340,-0.074623,-0.280920,NC_024381,NC_024381 sample_94,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38605,0.313860,-0.033767,0.124600,NC_008463,NC_008463 sample_5,Pseudomonas aeruginosa,0.277900,-0.122490,-0.069164,NC_024381,NC_024381 sample_95,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38606,0.395150,-0.071777,0.159070,NC_008463,NC_008463 sample_6,Pseudomonas aeruginosa,0.241650,-0.094944,-0.187920,NC_024381,NC_024381 sample_96,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38607,0.400370,-0.078801,0.336510,NC_008463,NC_008463 sample_7,Pseudomonas aeruginosa,0.295960,0.076957,-0.155560,NC_024381,NC_024381 sample_97,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38608,0.510860,-0.032397,0.223420,NC_008463,NC_008463 sample_8,Pseudomonas aeruginosa,0.385020,0.065787,-0.043306,NC_024381,NC_024381 sample_98,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
38609,0.580550,-0.103130,0.277350,NC_008463,NC_008463 sample_9,Pseudomonas aeruginosa,0.252510,-0.040746,-0.096237,NC_024381,NC_024381 sample_99,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
41000,0.101320,-0.081256,-0.130090,NC_008563,NC_008563 sample_0,Escherichia coli,0.109300,-0.063529,-0.082088,NC_024379,NC_024379 sample_0,"Escherichia phage PE3-1, complete genome."
41001,0.266270,-0.065207,-0.094252,NC_008563,NC_008563 sample_1,Escherichia coli,0.187450,-0.042820,-0.112300,NC_024379,NC_024379 sample_1,"Escherichia phage PE3-1, complete genome."
41002,0.136250,-0.121090,-0.040272,NC_008563,NC_008563 sample_2,Escherichia coli,0.169610,-0.001253,-0.191560,NC_024379,NC_024379 sample_2,"Escherichia phage PE3-1, complete genome."
41003,-0.040258,-0.136020,-0.173630,NC_008563,NC_008563 sample_3,Escherichia coli,0.037746,-0.080842,-0.081098,NC_024379,NC_024379 sample_3,"Escherichia phage PE3-1, complete genome."
41004,0.181940,-0.184940,-0.229130,NC_008563,NC_008563 sample_4,Escherichia coli,0.051405,-0.107190,-0.042500,NC_024379,NC_024379 sample_4,"Escherichia phage PE3-1, complete genome."
41005,0.134680,-0.120160,-0.157990,NC_008563,NC_008563 sample_5,Escherichia coli,0.120010,-0.114360,-0.028844,NC_024379,NC_024379 sample_5,"Escherichia phage PE3-1, complete genome."
41006,0.172860,-0.083710,-0.077294,NC_008563,NC_008563 sample_6,Escherichia coli,-0.005814,-0.103330,-0.047162,NC_024379,NC_024379 sample_6,"Escherichia phage PE3-1, complete genome."
41007,0.170990,-0.138640,-0.079036,NC_008563,NC_008563 sample_7,Escherichia coli,0.077483,-0.142200,-0.141290,NC_024379,NC_024379 sample_7,"Escherichia phage PE3-1, complete genome."
41008,0.153240,-0.170040,-0.076069,NC_008563,NC_008563 sample_8,Escherichia coli,0.004679,-0.089172,-0.070087,NC_024379,NC_024379 sample_8,"Escherichia phage PE3-1, complete genome."
41009,0.204540,-0.134230,-0.188430,NC_008563,NC_008563 sample_9,Escherichia coli,0.075941,-0.190460,-0.149640,NC_024379,NC_024379 sample_9,"Escherichia phage PE3-1, complete genome."
54400,0.501000,-0.114960,0.265270,NC_009656,NC_009656 sample_0,Pseudomonas aeruginosa,0.198160,-0.002233,-0.124060,NC_024381,NC_024381 sample_10,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54401,0.555590,-0.009033,0.273380,NC_009656,NC_009656 sample_1,Pseudomonas aeruginosa,0.201810,-0.045067,-0.271410,NC_024381,NC_024381 sample_11,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54402,0.443140,-0.165260,0.181330,NC_009656,NC_009656 sample_2,Pseudomonas aeruginosa,0.115870,-0.121500,-0.287290,NC_024381,NC_024381 sample_12,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54403,0.610990,-0.089693,0.477970,NC_009656,NC_009656 sample_3,Pseudomonas aeruginosa,0.191080,-0.023252,-0.254650,NC_024381,NC_024381 sample_13,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54404,0.409490,-0.047899,0.153380,NC_009656,NC_009656 sample_4,Pseudomonas aeruginosa,0.165840,0.029322,-0.277750,NC_024381,NC_024381 sample_14,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54405,0.285360,-0.075305,0.385350,NC_009656,NC_009656 sample_5,Pseudomonas aeruginosa,0.427660,-0.006550,-0.114240,NC_024381,NC_024381 sample_15,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54406,0.214700,-0.200740,0.030737,NC_009656,NC_009656 sample_6,Pseudomonas aeruginosa,0.314230,0.094340,-0.102310,NC_024381,NC_024381 sample_16,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54407,0.476940,-0.142240,0.261890,NC_009656,NC_009656 sample_7,Pseudomonas aeruginosa,0.288390,-0.094611,-0.193180,NC_024381,NC_024381 sample_17,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54408,0.389630,-0.131820,0.130490,NC_009656,NC_009656 sample_8,Pseudomonas aeruginosa,0.094817,-0.066185,-0.189620,NC_024381,NC_024381 sample_18,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
54409,0.312610,-0.083357,0.092384,NC_009656,NC_009656 sample_9,Pseudomonas aeruginosa,0.323670,0.024218,-0.224890,NC_024381,NC_024381 sample_19,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
57500,0.256400,-0.170740,-0.128540,NC_009800,NC_009800 sample_0,Escherichia coli,0.069714,-0.022914,-0.062611,NC_024379,NC_024379 sample_20,"Escherichia phage PE3-1, complete genome."
57501,-0.027276,-0.183970,-0.238040,NC_009800,NC_009800 sample_1,Escherichia coli,-0.065287,-0.090886,-0.076317,NC_024379,NC_024379 sample_21,"Escherichia phage PE3-1, complete genome."
57502,0.152410,-0.289390,-0.182390,NC_009800,NC_009800 sample_2,Escherichia coli,0.154260,-0.089229,-0.169260,NC_024379,NC_024379 sample_22,"Escherichia phage PE3-1, complete genome."
57503,0.200750,-0.112560,-0.217710,NC_009800,NC_009800 sample_3,Escherichia coli,0.017009,0.003801,-0.102280,NC_024379,NC_024379 sample_23,"Escherichia phage PE3-1, complete genome."
57504,0.272400,-0.112190,-0.165100,NC_009800,NC_009800 sample_4,Escherichia coli,0.152680,-0.132350,-0.146900,NC_024379,NC_024379 sample_24,"Escherichia phage PE3-1, complete genome."
57505,0.127590,-0.142010,-0.063175,NC_009800,NC_009800 sample_5,Escherichia coli,0.053373,-0.121370,-0.075896,NC_024379,NC_024379 sample_25,"Escherichia phage PE3-1, complete genome."
57506,0.299090,-0.122370,0.035165,NC_009800,NC_009800 sample_6,Escherichia coli,0.210280,-0.075369,-0.132800,NC_024379,NC_024379 sample_26,"Escherichia phage PE3-1, complete genome."
57507,0.126010,-0.166680,-0.226800,NC_009800,NC_009800 sample_7,Escherichia coli,0.223740,-0.091819,-0.009477,NC_024379,NC_024379 sample_27,"Escherichia phage PE3-1, complete genome."
57508,0.105410,-0.203160,-0.340000,NC_009800,NC_009800 sample_8,Escherichia coli,-0.026479,-0.067272,-0.123160,NC_024379,NC_024379 sample_28,"Escherichia phage PE3-1, complete genome."
57509,-0.047489,-0.053098,-0.281510,NC_009800,NC_009800 sample_9,Escherichia coli,0.060215,-0.201490,-0.107970,NC_024379,NC_024379 sample_29,"Escherichia phage PE3-1, complete genome."
57600,0.210990,-0.079934,-0.110730,NC_009801,NC_009801 sample_0,Escherichia coli,0.148460,-0.049607,0.009223,NC_024379,NC_024379 sample_30,"Escherichia phage PE3-1, complete genome."
57601,0.075298,-0.060115,-0.152360,NC_009801,NC_009801 sample_1,Escherichia coli,0.097908,-0.160460,-0.180630,NC_024379,NC_024379 sample_31,"Escherichia phage PE3-1, complete genome."
57602,0.257580,-0.139960,-0.115710,NC_009801,NC_009801 sample_2,Escherichia coli,0.054562,-0.057745,-0.086646,NC_024379,NC_024379 sample_32,"Escherichia phage PE3-1, complete genome."
57603,0.224110,-0.138270,0.149470,NC_009801,NC_009801 sample_3,Escherichia coli,0.138640,-0.016266,-0.013496,NC_024379,NC_024379 sample_33,"Escherichia phage PE3-1, complete genome."
