,x,y,z,ncbi_id,sample_name,full_name
130006,0.031224,0.005092,-0.024399,NC_015172,NC_015172 sample_6,Syntrophobotulus glycolicus DSM 8271
200388,-0.041685,0.016584,0.030933,NC_018065,NC_018065 sample_88,Solibacillus silvestris StLB046
23023,-0.006575,0.008950,0.020374,NC_007204,NC_007204 sample_23,Psychrobacter arcticus 273-4
253177,0.125170,0.056516,-0.077188,NC_021905,NC_021905 sample_77,Rhizobium etli bv. mimosae str. Mim1
143069,0.093497,0.058698,0.000862,NC_015758,NC_015758 sample_69,Mycobacterium africanum GM041182
124532,0.087826,0.097936,-0.049678,NC_014817,NC_014817 sample_32,Asticcacaulis excentricus CB 48 chromosome 2
112147,0.063289,0.069888,-0.035349,NC_014206,NC_014206 sample_47,Geobacillus sp. C56-T3
96324,0.040315,0.092062,-0.004275,NC_013119,NC_013119 sample_24,Brucella microti CCM 4915 chromosome 1
140773,0.024103,0.050601,0.003999,NC_015703,NC_015703 sample_73,Runella slithyformis DSM 19594
174763,-0.094209,-0.009816,0.062645,NC_017312,NC_017312 sample_63,Enterococcus faecalis 62
260537,0.005237,0.008650,0.000087,NC_022530,NC_022530 sample_37,Bacillus amyloliquefaciens subsp. plantarum NAU-B3
5825,-0.091643,0.004171,0.033391,NC_002952,NC_002952 sample_25,Staphylococcus aureus subsp. aureus MRSA252
93203,-0.004004,0.030335,0.028753,NC_012892,NC_012892 sample_3,Escherichia coli BL21(DE3)
52576,-0.117260,-0.030822,0.040391,NC_009513,NC_009513 sample_76,Lactobacillus reuteri DSM 20016
32112,0.070568,0.085026,-0.037695,NC_007948,NC_007948 sample_12,Polaromonas sp. JS666
76472,-0.011967,0.022695,-0.021037,NC_011206,NC_011206 sample_72,Acidithiobacillus ferrooxidans ATCC 53993
179504,-0.079626,0.002684,0.076691,NC_017434,NC_017434 sample_4,Chlamydia trachomatis D-EC
40100,-0.055335,0.005484,0.040956,NC_008532,NC_008532 sample_0,Streptococcus thermophilus LMD-9
238176,-0.078054,0.007880,0.002097,NC_021059,NC_021059 sample_76,Staphylococcus aureus M1 complete genome
187845,-0.043806,0.036764,0.059332,NC_017571,NC_017571 sample_45,Shewanella baltica BA175
143377,0.003741,0.003832,0.023501,NC_015761,NC_015761 sample_77,Salmonella bongori NCTC 12419
47882,0.218250,0.081408,-0.086041,NC_009142,NC_009142 sample_82,Saccharopolyspora erythraea NRRL 2338
98268,-0.026053,0.067580,0.008776,NC_013199,NC_013199 sample_68,Lactobacillus rhamnosus Lc 705
95491,0.046469,0.046242,-0.017899,NC_012997,NC_012997 sample_91,Teredinibacter turnerae T7901
146083,-0.059560,0.011376,0.035603,NC_015975,NC_015975 sample_83,Lactobacillus ruminis ATCC 27782
193518,-0.035341,0.041211,0.020003,NC_017742,NC_017742 sample_18,Helicobacter pylori PeCan18
454,-0.055115,0.006713,0.026529,NC_000911,NC_000911 sample_54,Synechocystis sp. PCC 6803
37710,-0.053155,0.003742,-0.000903,NC_008346,NC_008346 sample_10,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
217638,0.196400,0.101710,-0.107790,NC_019673,NC_019673 sample_38,Saccharothrix espanaensis DSM 44229 complete genome
203572,-0.157890,-0.037798,0.084269,NC_018407,NC_018407 sample_72,Mycoplasma gallisepticum NC95_13295-2-2P
196714,0.257000,0.118450,-0.175350,NC_017921,NC_017921 sample_14,Burkholderia sp. KJ006 chromosome 2
110290,0.083542,0.086130,-0.027676,NC_014117,NC_014117 sample_90,Burkholderia sp. CCGE1002 chromosome 1
33625,-0.089150,0.005799,0.046857,NC_008023,NC_008023 sample_25,Streptococcus pyogenes MGAS2096
57614,0.049554,0.051867,-0.032242,NC_009801,NC_009801 sample_14,Escherichia coli E24377A
91810,-0.017493,0.043721,-0.006400,NC_012793,NC_012793 sample_10,Geobacillus sp. WCH70
256234,-0.165450,0.010031,0.090337,NC_022196,NC_022196 sample_34,Fusobacterium nucleatum subsp. vincentii 3_1_36A2
62943,-0.068975,0.012797,0.015930,NC_010278,NC_010278 sample_43,Actinobacillus pleuropneumoniae serovar 3 str. JL03
232589,0.100680,0.097903,-0.041659,NC_020799,NC_020799 sample_89,Ralstonia solanacearum FQY_4
125053,-0.046955,0.027127,0.041836,NC_014833,NC_014833 sample_53,Ruminococcus albus 7
123198,-0.088813,0.018671,0.046751,NC_014758,NC_014758 sample_98,Calditerrivibrio nitroreducens DSM 19672
145320,-0.070659,0.007954,0.068159,NC_015949,NC_015949 sample_20,Caldicellulosiruptor lactoaceticus 6A
207894,-0.076538,-0.017121,0.021307,NC_018588,NC_018588 sample_94,Listeria monocytogenes SLCC2372
240594,0.141420,0.076325,-0.051783,NC_021193,NC_021193 sample_94,Mycobacterium tuberculosis CAS/NITR204
127989,0.109810,0.062318,-0.033724,NC_014972,NC_014972 sample_89,Desulfobulbus propionicus DSM 2032
46603,0.217270,0.062146,-0.159870,NC_009074,NC_009074 sample_3,Burkholderia pseudomallei 668 chromosome I
164721,-0.095215,-0.017374,0.045182,NC_017066,NC_017066 sample_21,Rickettsia typhi str. TH1527
543,-0.088680,-0.007523,0.048344,NC_000912,NC_000912 sample_43,Mycoplasma pneumoniae M129
190873,0.034343,0.031423,0.000175,NC_017634,NC_017634 sample_73,Escherichia coli O83:H1 str. NRG 857C
67576,0.167620,0.100570,-0.156840,NC_010551,NC_010551 sample_76,Burkholderia ambifaria MC40-6 chromosome 1
177692,-0.041293,0.022975,0.028804,NC_017368,NC_017368 sample_92,Helicobacter pylori F16
195180,-0.041019,0.028837,0.010239,NC_017846,NC_017846 sample_80,Aggregatibacter actinomycetemcomitans D7S-1
89563,-0.059938,0.002056,0.019231,NC_012659,NC_012659 sample_63,Bacillus anthracis str. A0248
201645,-0.063137,-0.008190,0.044453,NC_018140,NC_018140 sample_45,Legionella pneumophila subsp. pneumophila
37762,-0.047543,0.004023,0.020670,NC_008346,NC_008346 sample_62,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
257678,-0.160670,-0.015302,0.056347,NC_022245,NC_022245 sample_78,Streptococcus constellatus subsp. pharyngis C818
173236,0.077945,0.049517,-0.067451,NC_017293,NC_017293 sample_36,Candidatus Tremblaya princeps PCVAL
81155,-0.037359,0.031913,0.028189,NC_011750,NC_011750 sample_55,Escherichia coli IAI39
208871,-0.145740,-0.009393,0.038711,NC_018608,NC_018608 sample_71,Staphylococcus aureus 08BA02176
243720,-0.038824,0.040926,0.007509,NC_021352,NC_021352 sample_20,Corynebacterium glutamicum SCgG2
207980,-0.046190,0.012333,0.012205,NC_018589,NC_018589 sample_80,Listeria monocytogenes SLCC2479
107328,0.259940,0.099904,-0.155600,NC_013947,NC_013947 sample_28,Stackebrandtia nassauensis DSM 44728
138982,-0.279290,-0.090579,0.134990,NC_015662,NC_015662 sample_82,Buchnera aphidicola (Cinara tujafilina)
247601,0.045927,0.062382,-0.035163,NC_021740,NC_021740 sample_1,Mycobacterium tuberculosis EAI5
6821,0.187450,0.093587,-0.128360,NC_003047,NC_003047 sample_21,Sinorhizobium meliloti 1021
129537,-0.128130,-0.001540,0.060956,NC_015155,NC_015155 sample_37,Mycoplasma suis str. Illinois
900,0.026626,0.028142,-0.003600,NC_000919,NC_000919 sample_0,Treponema pallidum subsp. pallidum str. Nichols
92761,0.105420,0.032932,-0.069074,NC_012856,NC_012856 sample_61,Ralstonia pickettii 12D chromosome 1
260980,0.029893,0.057423,-0.008860,NC_022543,NC_022543 sample_80,Vibrio nigripulchritudo str. SFn1
143812,0.058622,0.088201,-0.025092,NC_015856,NC_015856 sample_12,Collimonas fungivorans Ter331
45199,-0.063179,0.000749,0.026944,NC_008800,NC_008800 sample_99,Yersinia enterocolitica subsp. enterocolitica 8081
259098,0.011920,0.053077,0.001246,NC_022370,NC_022370 sample_98,Escherichia coli PMV-1 main
123819,-0.068332,0.015429,0.035353,NC_014800,NC_014800 sample_19,Pseudoalteromonas sp. SM9913 chromosome II
7650,0.177290,0.105280,-0.111550,NC_003155,NC_003155 sample_50,Streptomyces avermitilis MA-4680
72281,0.054025,0.058768,0.000027,NC_010804,NC_010804 sample_81,Burkholderia multivorans ATCC 17616 chromosome 1
246954,0.024934,0.071337,0.035869,NC_021723,NC_021723 sample_54,Lactobacillus rhamnosus LOCK900
18081,-0.023889,0.018243,0.030622,NC_006138,NC_006138 sample_81,Desulfotalea psychrophila LSv54
19261,0.266110,0.123050,-0.204980,NC_006350,NC_006350 sample_61,Burkholderia pseudomallei K96243 chromosome 1
59044,-0.065806,0.019894,0.027776,NC_009901,NC_009901 sample_44,Shewanella pealeana ATCC 700345
160292,-0.072352,-0.005962,0.038183,NC_016931,NC_016931 sample_92,Rickettsia massiliae str. AZT80
85959,-0.104900,-0.011955,0.049518,NC_012121,NC_012121 sample_59,Staphylococcus carnosus subsp. carnosus TM300
261649,0.209440,0.047785,-0.111140,NC_022567,NC_022567 sample_49,Adlercreutzia equolifaciens DSM 19450 DNA
37659,-0.072426,0.022075,0.035132,NC_008345,NC_008345 sample_59,Shewanella frigidimarina NCIMB 400
154764,0.029697,0.057838,-0.015678,NC_016788,NC_016788 sample_64,Corynebacterium diphtheriae HC04
101955,-0.036323,0.014782,0.014869,NC_013512,NC_013512 sample_55,Sulfurospirillum deleyianum DSM 6946
214564,-0.080561,0.010011,0.052440,NC_018866,NC_018866 sample_64,Dehalobacter sp. DCA
154945,0.099889,0.053564,-0.037311,NC_016790,NC_016790 sample_45,Corynebacterium diphtheriae VA01
236032,-0.112320,-0.024756,0.048125,NC_020970,NC_020970 sample_32,Chlamydia trachomatis Ia/SotonIa1 complete genome
11975,0.022626,0.042861,-0.006206,NC_004431,NC_004431 sample_75,Escherichia coli CFT073
41769,0.247860,0.102350,-0.122680,NC_008595,NC_008595 sample_69,Mycobacterium avium 104
72877,-0.019256,0.041054,0.020687,NC_010842,NC_010842 sample_77,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' chromosome I
62243,0.001890,0.044395,-0.031033,NC_010168,NC_010168 sample_43,Renibacterium salmoninarum ATCC 33209
254670,0.092496,0.059666,-0.079534,NC_022080,NC_022080 sample_70,Geobacillus sp. JF8
70726,0.017265,0.042478,0.026304,NC_010694,NC_010694 sample_26,Erwinia tasmaniensis Et1/99
192902,-0.045930,0.035304,0.033287,NC_017733,NC_017733 sample_2,Helicobacter pylori HUP-B14
27741,0.052088,0.061339,-0.040153,NC_007604,NC_007604 sample_41,Synechococcus elongatus PCC 7942
217309,-0.039013,0.021765,0.048768,NC_019566,NC_019566 sample_9,Candidatus Endolissoclinum patella L2
66494,-0.125270,-0.004401,0.073322,NC_010516,NC_010516 sample_94,Clostridium botulinum B1 str. Okra
37356,0.018633,0.052234,-0.010187,NC_008340,NC_008340 sample_56,Alkalilimnicola ehrlichii MLHE-1
261452,-0.132170,-0.038649,0.078020,NC_022550,NC_022550 sample_52,Blattabacterium sp. (Nauphoeta cinerea)
52596,-0.068738,0.053518,0.029703,NC_009513,NC_009513 sample_96,Lactobacillus reuteri DSM 20016
247206,-0.012755,0.024312,0.009505,NC_021729,NC_021729 sample_6,Acinetobacter baumannii BJAB0868
60193,-0.068747,-0.016838,0.021966,NC_010001,NC_010001 sample_93,Clostridium phytofermentans ISDg
113770,-0.019765,0.051505,0.007999,NC_014246,NC_014246 sample_70,Mobiluncus curtisii ATCC 43063
195112,-0.035864,0.024025,0.023086,NC_017846,NC_017846 sample_12,Aggregatibacter actinomycetemcomitans D7S-1
108390,0.123720,0.089080,-0.073801,NC_014006,NC_014006 sample_90,Sphingobium japonicum UT26S chromosome 1
3578,0.033605,0.060151,-0.010711,NC_002695,NC_002695 sample_78,Escherichia coli O157:H7 str. Sakai
245324,0.120880,0.054674,-0.031143,NC_021577,NC_021577 sample_24,Pseudomonas aeruginosa RP73
217988,-0.045856,0.000157,0.057358,NC_019678,NC_019678 sample_88,Rivularia sp. PCC 7116
54509,0.050156,0.058294,-0.022508,NC_009659,NC_009659 sample_9,Janthinobacterium sp. Marseille
146734,-0.023088,0.051378,0.028696,NC_016011,NC_016011 sample_34,Listeria ivanovii subsp. ivanovii PAM 55
125675,0.220830,0.062211,-0.119750,NC_014910,NC_014910 sample_75,Alicycliphilus denitrificans BC
154714,0.076340,0.054597,-0.050224,NC_016788,NC_016788 sample_14,Corynebacterium diphtheriae HC04
80871,-0.029571,0.038005,-0.018315,NC_011744,NC_011744 sample_71,Vibrio splendidus LGP32 chromosome 2
118399,-0.201270,-0.051033,0.105490,NC_014499,NC_014499 sample_99,Candidatus Sulcia muelleri CARI
162825,-0.116890,0.004397,0.071553,NC_017043,NC_017043 sample_25,Rickettsia montanensis str. OSU 85-930
1277,0.015406,0.056931,-0.011831,NC_000962,NC_000962 sample_77,Mycobacterium tuberculosis H37Rv
90675,0.250220,0.108240,-0.173640,NC_012721,NC_012721 sample_75,Burkholderia glumae BGR1 chromosome 2
208675,-0.087340,0.009595,0.030568,NC_018605,NC_018605 sample_75,Cardinium endosymbiont cEper1 of Encarsia pergandiella
264549,-0.106670,-0.002626,0.057682,NC_022781,NC_022781 sample_49,Bacillus toyonensis BCT-7112
265024,0.170060,0.096107,-0.109840,NC_022806,NC_022806 sample_24,Pseudomonas aeruginosa PA1R
78446,-0.110630,-0.035444,0.076690,NC_011498,NC_011498 sample_46,Helicobacter pylori P12
14427,-0.000643,0.009946,0.008642,NC_004842,NC_004842 sample_27,Anaplasma marginale str. St. Maries
249753,-0.159900,-0.041669,0.073802,NC_021834,NC_021834 sample_53,Campylobacter jejuni 32488
245205,-0.099859,0.008624,0.063110,NC_021555,NC_021555 sample_5,Candidatus Tremblaya phenacola PAVE
114852,0.385170,0.123580,-0.279920,NC_014318,NC_014318 sample_52,Amycolatopsis mediterranei U32
199213,-0.088666,0.001702,0.049141,NC_018013,NC_018013 sample_13,Aequorivita sublithincola DSM 14238
197365,-0.006310,0.012581,0.031777,NC_017934,NC_017934 sample_65,Mesotoga prima MesG1.Ag.4.2
77459,-0.055630,0.021903,0.036725,NC_011313,NC_011313 sample_59,Aliivibrio salmonicida LFI1238 chromosome 2
