,principal_x,principal_y,principal_z,ncbi_id,sample_name,full_name
35,-0.135020,6.269765,10.145939,NC_000908,NC_000908 sample_5,Mycoplasma genitalium G37
36,-0.165229,1.275769,3.797051,NC_000908,NC_000908 sample_6,Mycoplasma genitalium G37
37,1.211692,10.606686,10.747243,NC_000908,NC_000908 sample_7,Mycoplasma genitalium G37
38,-0.686195,2.693335,6.367381,NC_000908,NC_000908 sample_8,Mycoplasma genitalium G37
39,0.393471,8.888729,10.934717,NC_000908,NC_000908 sample_9,Mycoplasma genitalium G37
40,4.931180,13.103958,1.871945,NC_000911,NC_000911 sample_0,Synechocystis sp. PCC 6803
41,-0.865151,5.425383,9.160745,NC_000911,NC_000911 sample_1,Synechocystis sp. PCC 6803
42,5.790750,12.639525,1.056681,NC_000911,NC_000911 sample_2,Synechocystis sp. PCC 6803
43,1.437714,12.758095,9.011967,NC_000911,NC_000911 sample_3,Synechocystis sp. PCC 6803
44,3.289655,14.254921,5.109324,NC_000911,NC_000911 sample_4,Synechocystis sp. PCC 6803
45,1.753636,13.450243,7.795127,NC_000911,NC_000911 sample_5,Synechocystis sp. PCC 6803
46,1.308024,11.587578,10.147607,NC_000911,NC_000911 sample_6,Synechocystis sp. PCC 6803
47,-0.659070,3.901199,8.294896,NC_000911,NC_000911 sample_7,Synechocystis sp. PCC 6803
48,-0.669251,3.858157,7.579760,NC_000911,NC_000911 sample_8,Synechocystis sp. PCC 6803
49,4.926627,13.385699,1.931881,NC_000911,NC_000911 sample_9,Synechocystis sp. PCC 6803
50,-0.871695,3.779951,7.812562,NC_000912,NC_000912 sample_0,Mycoplasma pneumoniae M129
51,-0.618770,6.108290,9.770546,NC_000912,NC_000912 sample_1,Mycoplasma pneumoniae M129
52,-0.724843,5.154302,9.351331,NC_000912,NC_000912 sample_2,Mycoplasma pneumoniae M129
53,1.070475,10.021019,10.795795,NC_000912,NC_000912 sample_3,Mycoplasma pneumoniae M129
54,3.077022,14.393590,4.858077,NC_000912,NC_000912 sample_4,Mycoplasma pneumoniae M129
55,1.933159,12.595971,9.087818,NC_000912,NC_000912 sample_5,Mycoplasma pneumoniae M129
56,-0.271099,1.464582,4.228778,NC_000912,NC_000912 sample_6,Mycoplasma pneumoniae M129
57,-0.882084,3.501929,6.921515,NC_000912,NC_000912 sample_7,Mycoplasma pneumoniae M129
58,6.557560,12.003942,0.583253,NC_000912,NC_000912 sample_8,Mycoplasma pneumoniae M129
59,0.389471,8.543632,10.777612,NC_000912,NC_000912 sample_9,Mycoplasma pneumoniae M129
60,3.026387,13.933856,6.485647,NC_000913,NC_000913 sample_0,Escherichia coli str. K-12 substr. MG1655
61,9.296988,9.707411,0.974590,NC_000913,NC_000913 sample_1,Escherichia coli str. K-12 substr. MG1655
62,7.030567,11.608383,1.046018,NC_000913,NC_000913 sample_2,Escherichia coli str. K-12 substr. MG1655
63,2.813195,13.857832,5.439040,NC_000913,NC_000913 sample_3,Escherichia coli str. K-12 substr. MG1655
64,3.004298,14.087586,5.391329,NC_000913,NC_000913 sample_4,Escherichia coli str. K-12 substr. MG1655
65,2.495415,13.281549,7.963800,NC_000913,NC_000913 sample_5,Escherichia coli str. K-12 substr. MG1655
66,1.545471,12.867452,9.164042,NC_000913,NC_000913 sample_6,Escherichia coli str. K-12 substr. MG1655
67,7.909962,10.499223,0.602252,NC_000913,NC_000913 sample_7,Escherichia coli str. K-12 substr. MG1655
68,5.914291,12.630594,1.042880,NC_000913,NC_000913 sample_8,Escherichia coli str. K-12 substr. MG1655
69,8.213704,10.553444,0.386511,NC_000913,NC_000913 sample_9,Escherichia coli str. K-12 substr. MG1655
70,-0.909439,3.630382,7.507183,NC_000915,NC_000915 sample_0,Helicobacter pylori 26695
71,-0.515905,6.816253,10.594517,NC_000915,NC_000915 sample_1,Helicobacter pylori 26695
72,-0.932467,4.227875,8.285651,NC_000915,NC_000915 sample_2,Helicobacter pylori 26695
73,2.380481,13.984099,7.032783,NC_000915,NC_000915 sample_3,Helicobacter pylori 26695
74,-0.414210,7.066782,10.428345,NC_000915,NC_000915 sample_4,Helicobacter pylori 26695
75,1.071302,11.832954,10.425000,NC_000915,NC_000915 sample_5,Helicobacter pylori 26695
76,1.735248,12.708549,8.801788,NC_000915,NC_000915 sample_6,Helicobacter pylori 26695
77,-0.376137,7.090800,10.534185,NC_000915,NC_000915 sample_7,Helicobacter pylori 26695
78,1.910072,13.624815,7.383452,NC_000915,NC_000915 sample_8,Helicobacter pylori 26695
79,1.039028,10.916975,10.614918,NC_000915,NC_000915 sample_9,Helicobacter pylori 26695
80,0.350127,8.773685,10.944206,NC_000918,NC_000918 sample_0,Aquifex aeolicus VF5
81,1.022534,11.265536,10.669001,NC_000918,NC_000918 sample_1,Aquifex aeolicus VF5
82,0.457855,8.170596,10.848919,NC_000918,NC_000918 sample_2,Aquifex aeolicus VF5
83,0.382423,9.044470,11.247817,NC_000918,NC_000918 sample_3,Aquifex aeolicus VF5
84,0.026956,8.220161,10.825913,NC_000918,NC_000918 sample_4,Aquifex aeolicus VF5
85,1.605011,12.247095,9.352654,NC_000918,NC_000918 sample_5,Aquifex aeolicus VF5
86,-0.662319,6.377150,10.117813,NC_000918,NC_000918 sample_6,Aquifex aeolicus VF5
87,0.136393,8.527665,10.744325,NC_000918,NC_000918 sample_7,Aquifex aeolicus VF5
88,2.728289,14.277087,4.816197,NC_000918,NC_000918 sample_8,Aquifex aeolicus VF5
89,1.221462,12.524740,9.749980,NC_000918,NC_000918 sample_9,Aquifex aeolicus VF5
90,8.153677,10.473144,0.968542,NC_000919,NC_000919 sample_0,Treponema pallidum subsp. pallidum str. Nichols
91,5.884565,12.818502,1.307270,NC_000919,NC_000919 sample_1,Treponema pallidum subsp. pallidum str. Nichols
92,5.574662,12.833706,1.554317,NC_000919,NC_000919 sample_2,Treponema pallidum subsp. pallidum str. Nichols
93,5.266885,12.944856,1.510128,NC_000919,NC_000919 sample_3,Treponema pallidum subsp. pallidum str. Nichols
94,2.860608,13.949100,6.340610,NC_000919,NC_000919 sample_4,Treponema pallidum subsp. pallidum str. Nichols
95,2.157040,12.821214,9.032772,NC_000919,NC_000919 sample_5,Treponema pallidum subsp. pallidum str. Nichols
96,8.228590,10.394896,0.869691,NC_000919,NC_000919 sample_6,Treponema pallidum subsp. pallidum str. Nichols
97,7.076646,11.395982,0.863812,NC_000919,NC_000919 sample_7,Treponema pallidum subsp. pallidum str. Nichols
98,2.836697,14.047119,6.177276,NC_000919,NC_000919 sample_8,Treponema pallidum subsp. pallidum str. Nichols
99,3.507401,14.069097,3.858684,NC_000919,NC_000919 sample_9,Treponema pallidum subsp. pallidum str. Nichols
100,-0.611030,2.503812,6.037129,NC_000921,NC_000921 sample_0,Helicobacter pylori J99
101,-0.937545,3.636562,7.333324,NC_000921,NC_000921 sample_1,Helicobacter pylori J99
102,-0.535804,2.157957,5.473899,NC_000921,NC_000921 sample_2,Helicobacter pylori J99
103,1.982642,12.144720,9.726066,NC_000921,NC_000921 sample_3,Helicobacter pylori J99
104,0.380514,8.710728,11.146938,NC_000921,NC_000921 sample_4,Helicobacter pylori J99
105,1.372234,11.471199,10.392335,NC_000921,NC_000921 sample_5,Helicobacter pylori J99
106,1.496584,12.243129,9.802566,NC_000921,NC_000921 sample_6,Helicobacter pylori J99
107,-0.734403,4.073186,8.370400,NC_000921,NC_000921 sample_7,Helicobacter pylori J99
108,1.139748,11.156157,10.461429,NC_000921,NC_000921 sample_8,Helicobacter pylori J99
109,-0.306363,1.710395,4.577118,NC_000921,NC_000921 sample_9,Helicobacter pylori J99
110,0.483334,9.551108,10.959417,NC_000922,NC_000922 sample_0,Chlamydophila pneumoniae CWL029
111,-0.553879,6.634011,10.127671,NC_000922,NC_000922 sample_1,Chlamydophila pneumoniae CWL029
112,2.008835,13.417639,7.811718,NC_000922,NC_000922 sample_2,Chlamydophila pneumoniae CWL029
113,1.213809,11.120128,10.364726,NC_000922,NC_000922 sample_3,Chlamydophila pneumoniae CWL029
114,1.341629,11.261892,10.461636,NC_000922,NC_000922 sample_4,Chlamydophila pneumoniae CWL029
115,0.562288,8.864276,11.031192,NC_000922,NC_000922 sample_5,Chlamydophila pneumoniae CWL029
116,-0.456432,5.570683,9.156392,NC_000922,NC_000922 sample_6,Chlamydophila pneumoniae CWL029
117,-0.589299,4.042362,8.256753,NC_000922,NC_000922 sample_7,Chlamydophila pneumoniae CWL029
118,1.051487,12.134376,9.705796,NC_000922,NC_000922 sample_8,Chlamydophila pneumoniae CWL029
119,1.984662,13.162769,8.377662,NC_000922,NC_000922 sample_9,Chlamydophila pneumoniae CWL029
120,10.785542,3.373474,9.124367,NC_000962,NC_000962 sample_0,Mycobacterium tuberculosis H37Rv
121,10.421365,8.572631,2.237956,NC_000962,NC_000962 sample_1,Mycobacterium tuberculosis H37Rv
122,10.747183,3.456360,9.034726,NC_000962,NC_000962 sample_2,Mycobacterium tuberculosis H37Rv
123,10.906669,3.408867,8.436907,NC_000962,NC_000962 sample_3,Mycobacterium tuberculosis H37Rv
124,10.257879,2.449702,10.512837,NC_000962,NC_000962 sample_4,Mycobacterium tuberculosis H37Rv
125,10.386031,8.634883,1.955233,NC_000962,NC_000962 sample_5,Mycobacterium tuberculosis H37Rv
126,5.572510,12.771167,1.780802,NC_000962,NC_000962 sample_6,Mycobacterium tuberculosis H37Rv
127,11.368764,7.276555,3.680044,NC_000962,NC_000962 sample_7,Mycobacterium tuberculosis H37Rv
128,11.551618,4.994292,6.175323,NC_000962,NC_000962 sample_8,Mycobacterium tuberculosis H37Rv
129,10.375878,2.640491,10.401999,NC_000962,NC_000962 sample_9,Mycobacterium tuberculosis H37Rv
130,-0.943242,3.612386,7.348480,NC_000963,NC_000963 sample_0,Rickettsia prowazekii str. Madrid E
131,0.033557,0.652079,2.875005,NC_000963,NC_000963 sample_1,Rickettsia prowazekii str. Madrid E
132,-0.524523,2.740002,6.509462,NC_000963,NC_000963 sample_2,Rickettsia prowazekii str. Madrid E
133,-0.464600,1.966359,4.840600,NC_000963,NC_000963 sample_3,Rickettsia prowazekii str. Madrid E
134,-0.340425,1.610535,4.479818,NC_000963,NC_000963 sample_4,Rickettsia prowazekii str. Madrid E
135,-0.666718,2.369992,5.465274,NC_000963,NC_000963 sample_5,Rickettsia prowazekii str. Madrid E
136,-0.303802,6.303670,10.439855,NC_000963,NC_000963 sample_6,Rickettsia prowazekii str. Madrid E
137,-0.285691,1.563107,4.286017,NC_000963,NC_000963 sample_7,Rickettsia prowazekii str. Madrid E
138,-0.545455,3.197510,6.691908,NC_000963,NC_000963 sample_8,Rickettsia prowazekii str. Madrid E
139,-0.543627,4.253038,8.713532,NC_000963,NC_000963 sample_9,Rickettsia prowazekii str. Madrid E
140,0.737502,10.557231,10.528208,NC_000964,NC_000964 sample_0,Bacillus subtilis subsp. subtilis str. 168
141,1.524331,13.243197,8.917578,NC_000964,NC_000964 sample_1,Bacillus subtilis subsp. subtilis str. 168
142,0.280382,9.358023,11.288214,NC_000964,NC_000964 sample_2,Bacillus subtilis subsp. subtilis str. 168
143,0.984828,10.922243,10.421481,NC_000964,NC_000964 sample_3,Bacillus subtilis subsp. subtilis str. 168
144,-0.550172,5.848728,9.488241,NC_000964,NC_000964 sample_4,Bacillus subtilis subsp. subtilis str. 168
145,1.280640,12.357616,9.791401,NC_000964,NC_000964 sample_5,Bacillus subtilis subsp. subtilis str. 168
146,0.606878,8.936112,11.277301,NC_000964,NC_000964 sample_6,Bacillus subtilis subsp. subtilis str. 168
147,3.818452,13.868955,3.989542,NC_000964,NC_000964 sample_7,Bacillus subtilis subsp. subtilis str. 168
148,3.494828,14.120226,4.629177,NC_000964,NC_000964 sample_8,Bacillus subtilis subsp. subtilis str. 168
149,2.648769,14.085315,5.159154,NC_000964,NC_000964 sample_9,Bacillus subtilis subsp. subtilis str. 168
150,10.498726,8.389438,2.098933,NC_001263,NC_001263 sample_0,Deinococcus radiodurans R1 chromosome 1
151,10.973162,7.379796,3.026084,NC_001263,NC_001263 sample_1,Deinococcus radiodurans R1 chromosome 1
152,10.742664,3.210831,9.164573,NC_001263,NC_001263 sample_2,Deinococcus radiodurans R1 chromosome 1
153,8.184021,10.802129,0.513735,NC_001263,NC_001263 sample_3,Deinococcus radiodurans R1 chromosome 1
154,11.474242,6.109827,4.993314,NC_001263,NC_001263 sample_4,Deinococcus radiodurans R1 chromosome 1
155,10.333401,2.574047,10.916392,NC_001263,NC_001263 sample_5,Deinococcus radiodurans R1 chromosome 1
156,11.697528,6.145838,4.769596,NC_001263,NC_001263 sample_6,Deinococcus radiodurans R1 chromosome 1
157,11.354835,5.271150,6.071039,NC_001263,NC_001263 sample_7,Deinococcus radiodurans R1 chromosome 1
158,10.988832,7.555106,3.161340,NC_001263,NC_001263 sample_8,Deinococcus radiodurans R1 chromosome 1
159,10.518538,2.865455,10.758718,NC_001263,NC_001263 sample_9,Deinococcus radiodurans R1 chromosome 1
160,10.394942,2.676607,10.914155,NC_001264,NC_001264 sample_0,Deinococcus radiodurans R1 chromosome 2
161,11.177496,4.901290,6.743088,NC_001264,NC_001264 sample_1,Deinococcus radiodurans R1 chromosome 2
162,10.967567,7.658733,2.816031,NC_001264,NC_001264 sample_2,Deinococcus radiodurans R1 chromosome 2
163,11.233367,6.005367,5.388447,NC_001264,NC_001264 sample_3,Deinococcus radiodurans R1 chromosome 2
164,11.564382,5.829898,5.091326,NC_001264,NC_001264 sample_4,Deinococcus radiodurans R1 chromosome 2
165,10.778775,3.574493,8.661218,NC_001264,NC_001264 sample_5,Deinococcus radiodurans R1 chromosome 2
166,10.962031,7.339991,2.876608,NC_001264,NC_001264 sample_6,Deinococcus radiodurans R1 chromosome 2
167,11.365173,6.112233,4.899115,NC_001264,NC_001264 sample_7,Deinococcus radiodurans R1 chromosome 2
168,10.767301,3.250807,9.497002,NC_001264,NC_001264 sample_8,Deinococcus radiodurans R1 chromosome 2
169,10.317182,2.520191,11.715707,NC_001264,NC_001264 sample_9,Deinococcus radiodurans R1 chromosome 2
170,-0.537719,2.287919,5.397512,NC_001318,NC_001318 sample_0,Borrelia burgdorferi B31
171,-0.046051,1.274855,3.649624,NC_001318,NC_001318 sample_1,Borrelia burgdorferi B31
172,-0.967211,3.625880,7.187966,NC_001318,NC_001318 sample_2,Borrelia burgdorferi B31
173,0.323233,0.297494,2.022282,NC_001318,NC_001318 sample_3,Borrelia burgdorferi B31
174,-0.249574,1.322116,3.974166,NC_001318,NC_001318 sample_4,Borrelia burgdorferi B31
175,-0.647290,2.361048,5.760624,NC_001318,NC_001318 sample_5,Borrelia burgdorferi B31
176,-0.836361,4.451939,8.895981,NC_001318,NC_001318 sample_6,Borrelia burgdorferi B31
177,-0.460790,2.046333,4.910015,NC_001318,NC_001318 sample_7,Borrelia burgdorferi B31
178,-0.120902,1.065426,3.473568,NC_001318,NC_001318 sample_8,Borrelia burgdorferi B31
179,0.741480,-0.602203,0.342494,NC_001318,NC_001318 sample_9,Borrelia burgdorferi B31
180,-0.900473,3.110601,6.506814,NC_001382,NC_001382 sample_0,Plasmid pADB201 (from Mycoplasma mycoides)
181,-0.558797,2.082777,5.392597,NC_001382,NC_001382 sample_1,Plasmid pADB201 (from Mycoplasma mycoides)
182,-0.902869,3.273854,7.295390,NC_001382,NC_001382 sample_2,Plasmid pADB201 (from Mycoplasma mycoides)
183,0.426907,0.201769,1.852851,NC_001382,NC_001382 sample_3,Plasmid pADB201 (from Mycoplasma mycoides)
184,0.147280,0.945473,3.092961,NC_001382,NC_001382 sample_4,Plasmid pADB201 (from Mycoplasma mycoides)
185,-0.692929,4.289049,8.368154,NC_001382,NC_001382 sample_5,Plasmid pADB201 (from Mycoplasma mycoides)
186,-0.501042,2.144547,5.442035,NC_001382,NC_001382 sample_6,Plasmid pADB201 (from Mycoplasma mycoides)
187,-0.260232,1.418269,4.308064,NC_001382,NC_001382 sample_7,Plasmid pADB201 (from Mycoplasma mycoides)
188,0.647639,-0.244687,1.009238,NC_001382,NC_001382 sample_8,Plasmid pADB201 (from Mycoplasma mycoides)
189,0.147615,0.881360,3.046789,NC_001382,NC_001382 sample_9,Plasmid pADB201 (from Mycoplasma mycoides)
190,-0.512098,1.668611,4.854319,NC_002162,NC_002162 sample_0,Ureaplasma parvum serovar 3 str. ATCC 700970
191,-0.503330,6.122914,9.858752,NC_002162,NC_002162 sample_1,Ureaplasma parvum serovar 3 str. ATCC 700970
192,0.163987,0.982687,3.082173,NC_002162,NC_002162 sample_2,Ureaplasma parvum serovar 3 str. ATCC 700970
193,0.541289,-0.127062,1.283662,NC_002162,NC_002162 sample_3,Ureaplasma parvum serovar 3 str. ATCC 700970
194,0.003578,0.841567,3.130091,NC_002162,NC_002162 sample_4,Ureaplasma parvum serovar 3 str. ATCC 700970
195,0.786632,-0.711675,0.195025,NC_002162,NC_002162 sample_5,Ureaplasma parvum serovar 3 str. ATCC 700970
196,-1.069923,3.118698,6.741890,NC_002162,NC_002162 sample_6,Ureaplasma parvum serovar 3 str. ATCC 700970
197,-0.375792,1.595827,4.480423,NC_002162,NC_002162 sample_7,Ureaplasma parvum serovar 3 str. ATCC 700970
198,0.737858,-0.509239,0.528418,NC_002162,NC_002162 sample_8,Ureaplasma parvum serovar 3 str. ATCC 700970
199,0.906155,9.154672,11.172824,NC_002162,NC_002162 sample_9,Ureaplasma parvum serovar 3 str. ATCC 700970
200,-0.470049,2.202593,5.465052,NC_002163,NC_002163 sample_0,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
201,-0.632687,4.342546,8.208804,NC_002163,NC_002163 sample_1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
202,-0.908877,3.727719,7.874349,NC_002163,NC_002163 sample_2,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
203,-0.764613,4.019507,7.713718,NC_002163,NC_002163 sample_3,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
204,-0.634522,2.432194,5.606693,NC_002163,NC_002163 sample_4,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
205,0.364114,0.446526,2.317442,NC_002163,NC_002163 sample_5,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
206,-0.475402,6.038909,10.069228,NC_002163,NC_002163 sample_6,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
207,-0.373080,1.674127,4.655799,NC_002163,NC_002163 sample_7,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
208,-0.286487,1.646881,4.313509,NC_002163,NC_002163 sample_8,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
209,-0.836780,3.461766,7.373864,NC_002163,NC_002163 sample_9,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
210,1.214968,11.822042,9.844297,NC_002179,NC_002179 sample_0,Chlamydophila pneumoniae AR39
211,0.372266,9.954293,10.813932,NC_002179,NC_002179 sample_1,Chlamydophila pneumoniae AR39
212,-0.504613,6.547318,10.054087,NC_002179,NC_002179 sample_2,Chlamydophila pneumoniae AR39
213,1.853602,13.609617,7.744467,NC_002179,NC_002179 sample_3,Chlamydophila pneumoniae AR39
214,-0.150856,6.654024,10.310922,NC_002179,NC_002179 sample_4,Chlamydophila pneumoniae AR39
215,1.366969,11.130102,10.389228,NC_002179,NC_002179 sample_5,Chlamydophila pneumoniae AR39
216,0.085348,1.054246,3.296079,NC_002179,NC_002179 sample_6,Chlamydophila pneumoniae AR39
217,0.963773,10.700626,10.509506,NC_002179,NC_002179 sample_7,Chlamydophila pneumoniae AR39
218,-0.232250,6.728952,10.448399,NC_002179,NC_002179 sample_8,Chlamydophila pneumoniae AR39
219,-0.325972,7.514750,10.501125,NC_002179,NC_002179 sample_9,Chlamydophila pneumoniae AR39
220,4.769607,13.211965,1.873029,NC_002488,NC_002488 sample_0,Xylella fastidiosa 9a5c
221,9.102766,9.776801,0.796497,NC_002488,NC_002488 sample_1,Xylella fastidiosa 9a5c
222,7.113358,11.540197,0.902277,NC_002488,NC_002488 sample_2,Xylella fastidiosa 9a5c
223,3.904452,13.654646,2.420341,NC_002488,NC_002488 sample_3,Xylella fastidiosa 9a5c
224,4.694091,13.304274,2.299856,NC_002488,NC_002488 sample_4,Xylella fastidiosa 9a5c
225,5.953955,12.464318,0.951046,NC_002488,NC_002488 sample_5,Xylella fastidiosa 9a5c
226,5.280231,13.024770,1.656729,NC_002488,NC_002488 sample_6,Xylella fastidiosa 9a5c
227,7.582822,11.085899,0.729534,NC_002488,NC_002488 sample_7,Xylella fastidiosa 9a5c
228,2.098870,13.676957,7.269152,NC_002488,NC_002488 sample_8,Xylella fastidiosa 9a5c
229,6.081501,12.198690,0.947176,NC_002488,NC_002488 sample_9,Xylella fastidiosa 9a5c
230,-0.674361,3.907783,7.836526,NC_002491,NC_002491 sample_0,Chlamydophila pneumoniae J138
231,-0.199944,7.408114,10.726000,NC_002491,NC_002491 sample_1,Chlamydophila pneumoniae J138
232,0.704091,10.886891,10.840018,NC_002491,NC_002491 sample_2,Chlamydophila pneumoniae J138
233,1.671381,13.229997,8.999898,NC_002491,NC_002491 sample_3,Chlamydophila pneumoniae J138
234,2.426245,14.229785,6.363825,NC_002491,NC_002491 sample_4,Chlamydophila pneumoniae J138
235,-0.638623,2.512177,6.112087,NC_002491,NC_002491 sample_5,Chlamydophila pneumoniae J138
236,2.274216,13.666248,8.221909,NC_002491,NC_002491 sample_6,Chlamydophila pneumoniae J138
237,1.708354,12.491199,9.715473,NC_002491,NC_002491 sample_7,Chlamydophila pneumoniae J138
238,0.787184,9.741759,11.012730,NC_002491,NC_002491 sample_8,Chlamydophila pneumoniae J138
239,1.108478,11.252231,10.772816,NC_002491,NC_002491 sample_9,Chlamydophila pneumoniae J138
240,3.651701,13.996116,3.240935,NC_002505,NC_002505 sample_0,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
241,8.613558,10.181735,0.569544,NC_002505,NC_002505 sample_1,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
242,6.592706,12.014115,0.679956,NC_002505,NC_002505 sample_2,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
243,8.246065,10.613353,0.745650,NC_002505,NC_002505 sample_3,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
244,3.565213,13.923812,4.611129,NC_002505,NC_002505 sample_4,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
245,4.252307,13.755163,3.248594,NC_002505,NC_002505 sample_5,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
246,4.696509,13.415178,1.948708,NC_002505,NC_002505 sample_6,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
247,4.000137,13.883312,2.838486,NC_002505,NC_002505 sample_7,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
248,6.742325,11.755829,0.755573,NC_002505,NC_002505 sample_8,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
249,1.474242,13.142520,9.074792,NC_002505,NC_002505 sample_9,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I
250,3.815443,14.153537,3.837616,NC_002506,NC_002506 sample_0,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
251,4.898459,13.142588,1.950105,NC_002506,NC_002506 sample_1,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
252,8.866216,10.229592,0.810457,NC_002506,NC_002506 sample_2,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
253,3.156249,14.040345,4.946949,NC_002506,NC_002506 sample_3,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
254,3.531326,13.866177,3.984827,NC_002506,NC_002506 sample_4,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
255,5.825544,12.632497,1.203288,NC_002506,NC_002506 sample_5,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
256,3.028655,14.304355,4.530446,NC_002506,NC_002506 sample_6,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
257,3.951535,13.868752,3.760815,NC_002506,NC_002506 sample_7,Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II
